 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
15211;OVIEDO;43.366523;-5.855231;CALLE URIA, S/N - PLAZA DE LOS FERROVIARIOS, S/N;33012;Oviedo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15211.pdf;
16005;PEÑA RUBIA;43.321329;-5.720867;ANTIGUA CARRETERA AS-244 - ESTACION FERROCARRIL, S/N;33929;Langreo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16005.pdf;
15122;POLA DE LENA;43.15866;-5.831059;CALLE RAMON Y CAJAL, 19;33630;Lena;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15122.pdf;
15118;PUENTE DE LOS FIERROS;43.071756;-5.76938;CARRETERA N-630 - ESTACION FERROCARRIL, S/N;33692;Lena;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15118.pdf;
16009;SAMA;43.291852;-5.679471;CALLE CIPRIANO PEDROS, S/N;33900;Langreo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16009.pdf;
16405;SAN JUAN DE NIEVA;43.587884;-5.93136;AVENIDA LA PLAYA, 32;33417;Castrillón;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16405.pdf;
16001;SANTA EULALIA DE MANZANEDA;43.317361;-5.812635;CARRETERA AS-116 - ESTACION FERROCARRIL, S/N;33669;Oviedo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16001.pdf;
15202;SANTULLANO;43.220897;-5.785576;CARRETERA MI-3 - ESTACION FERROCARRIL, S/N;33611;Mieres;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15202.pdf;
15302;SERIN;43.504836;-5.781918;CARRETERA AS-326 - CAMINO ESTACION, 11 A;33697;Gijón;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15302.pdf;
15208;SOTO DE REY;43.306407;-5.85579;CALLE ESTACION FERROCARRIL S/N;33696;Ribera de Arriba;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15208.pdf;
16002;TUDELA-VEGUIN;43.331016;-5.776871;CALLE TINO CASAL, S/N;33910;Oviedo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16002.pdf;
15200;UJO;43.206;-5.79249;CALLE ESTACION S/N ;33640;Mieres;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15200.pdf;
15400;VERIÑA;43.541561;-5.722783;CARRETERA AVILES, S/N;33213;Gijón;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15400.pdf;
15301;VILLABONA DE ASTURIAS;43.461507;-5.826395;CALLE ESTACION FERROCARRIL, S/N;33422;Llanera;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15301.pdf;
15305;VILLABONA TABLADIELLO;43.474155;-5.800039;CARRETERA AS-325 - ESTACION FERROCARRIL, S/N;33422;Llanera;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15305.pdf;
16401;VILLALEGRE;43.540043;-5.902234;CALLE CAMINO LA FUENTE, S/N;33406;Avilés;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16401.pdf;
15123;VILLALLANA;43.183842;-5.814652;AVENIDA DE SANTIAGO, S/N;33695;Lena;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15123.pdf;
